분반,수업,교수,구분,학년,시간,학점
05742-01,고급영어읽기,김혜영,전선1,4,"화4~5(K246), 목4(K246)",3
03774-01,문화간실무영어,,전선1,3,,3
05191-01,미국문학의이해,김지은,전선1,3,"월7(K258), 수6~7(K258)",3
06576-01,미디어컨텐츠청해연습,김혜영,전선1,3,"화6(K237), 목5~6(K237)",3
06577-01,스타트업영어발표,김지윤,전선1,3,"화6~7(K246), 목6(K246)",3
06866-01,스토리텔링의이해,박주현,전선1,2,"월6(BA204), 수4~5(BA204)",3
03709-01,실용영문법2,이창봉,전선1,2,"화6~7(K356), 목6(K356)",3
03709-02,실용영문법2,김은주,전선1,2,"월2~3(K106), 금3(K106)",3
06584-01,아동영어교육,심영숙,전선1,2,"월5(K249), 목7~8(K249)",3
05749-01,연극적상상력과시대정신,장은주,전선1,4,"화4~5(K258), 목4(K258)",3
00603-01,영문학개관2,박주식,전선1,2,금2~4(K262),3
04389-01,영미문화의배경:신화와성경,에릭탐슨,전선1,2,"월6(K256), 수6~7(K256)",3
04816-01,영어교재연구및지도법,심영숙,전선1,3,"월8~9(K356), 수8(K356)",3
05196-01,영어구문의분석과활용,,전선1,4,,3
04648-01,영어권국가의소수민족문화,이벳트 머독,전선1,4,월2~4(K246),3
04377-01,영어로읽는세계문학,김지은,전선1,3,"월8~9(K262), 수2(K262)",3
06583-01,영어마케팅전략캡스톤디자인,김지윤,전선1,3,금5~7(K250),3
05193-01,영어발음이론과훈련,김지윤,전선1,2,"수8~9(K107), 금9(K107)",3
06578-01,영어영문학현장실습Ⅰ,김지윤,전선1,4,,3
06579-01,영어영문학현장실습Ⅱ,김지윤,전선1,4,,3
06580-01,영어영문학현장실습Ⅲ,김지윤,전선1,4,,3
06581-01,영어영문학현장실습Ⅳ,김지윤,전선1,4,,3
06582-01,영어영문학현장실습Ⅴ,김지윤,전선1,4,,3
06114-01,영어의이해:듣기와말하기,에릭탐슨,전선1,2,"화2~3(V213), 목3(V213)",3
06115-01,영어의이해:읽기와쓰기,에릭탐슨,전선1,2,"화6(N320), 목5~6(N320)",3
05740-01,영어학의이해2:의미와화용,이창봉,전선1,3,"화3~4(K342), 목4(K342)",3
04411-01,영화를통한영미문화의이해,김혜영,전선1,3,금4~6(K106),3
06185-01,은유를통한고급영어습득,이창봉,전선1,3,"월6~7(K262), 수5(K262)",3
01147-01,현대영미희곡,장은주,전선1,3,"화2~3(N408), 목3(N408)",3
06973-01,4차산업혁명으로진화하는물류산업,,전선1,2,,3
06974-01,ESG컨설팅캡스톤디자인,임현선,전선1,4,금6~8(K247),3
07026-01,디지털전환과스마트플랫폼이론·실습,이종석,전선1,2,"화2~3(K246), 목2~3(K246)",3
06981-01,메타버스비즈니스기획론,신승호,전선1,2,화3~5(K244),3
06982-01,메타버스실무전략,김천광,전선1,2,금2~4(N307),3
06983-01,문화도시프로젝트세미나,임학순,전선1,3,수7~9(N320),3
06984-01,비주얼머천다이징(VMD),김나연,전선1,4,목7~9(D208),3
06985-01,스마트유통물류의SCM실무,안성진,전선1,2,금2~4(K356),3
06986-01,스마트유통물류의이해,박남,전선1,2,월3~5(K237),3
07029-01,웹소설의이해와분석,,전선1,전체,금1~3(),3
07030-01,웹툰스토리창작포트폴리오,,전선1,전체,,3
07031-01,커뮤니티마케팅,,전선1,전체,,3
07032-01,콘텐츠기반스타트업사업계획서작성실습,,전선1,전체,,3
07033-01,콘텐츠트랜드&미디어커머스이론ㆍ실습,이종석,전선1,2,"화7~8(K254), 목7~8(K254)",3
04330-01,예술경영과기획의이해,김현주,자교,전체,목2~3(V112),2
06289-01,음악으로듣는문화와사회,한난이,중핵,3,화4~6(M301),3
00525-01,시창2,김호정,전기,1,화5(CH201),1
00527-01,시창4,김호정,전기,2,화6(CH201),1
00947-01,청음2,김유환,전기,1,월3(CH202),1
00947-02,청음2,김유환,전기,1,월5(CH202),1
00599-01,연주2,한옥미,전필1,2,금3~4(),1
06358-01,연주4,한옥미,전필1,3,금3~4(),0
06359-01,연주입문,한옥미,전필1,1,금3~4(),0
00682-01,음악사2,한난이,전필1,2,화7~9(),3
00804-01,전공실기1,,전필1,1,,1
00805-01,전공실기2,,전필1,1,,1
00806-01,전공실기3,,전필1,2,,1
00807-01,전공실기4,,전필1,2,,1
00808-01,전공실기5,,전필1,3,,1
00809-01,전공실기6,,전필1,3,,1
00810-01,전공실기7,,전필1,4,,1
04158-01,청음4,정재은,전필1,2,금5(CH201),1
04158-02,청음4,정재은,전필1,2,금6(CH201),1
04522-01,21C예술의이해와전망,최원석,전선1,3,수7~9(CH201),3
03308-01,건반악기실내악앙상블2,,전선1,3,목3~4(CH304),2
03454-01,건반화성및반주법2,조윤경,전선1,4,금5~7(CH104),3
03539-01,고급화성2,이시현,전선1,1,수6(CH201),1
00114-01,관현악법2,김수호,전선1,4,월6~8(CH203),3
00190-01,기초화성,이시현,전선1,1,수2~3(CH201),1
00190-02,기초화성,이시현,전선1,1,수4~5(CH201),1
05684-01,뉴미디어음악과공연예술캡스톤디자인2,박선미,전선1,4,목2~4(),3
00210-01,대위법2,이의진,전선1,2,화2~3(CH104),2
00284-01,바로크성악곡,장수민,전선1,3,수4(CH203),1
00338-01,불어딕션,이경호,전선1,2,화4(CH203),1
00477-01,성악문헌1,이일령,전선1,2,목3~4(CH203),2
00547-01,실내악앙상블2,김경희,전선1,3,수6~7(CH334),2
04162-01,악기론2,정재은,전선1,2,금1~2(CH201),1
00611-01,영미가곡,이일령,전선1,3,목2(CH203),1
04278-01,오르간문헌2,,전선1,3,수7~8(CH103),2
03540-01,오페라앙상블1,이승묵,전선1,2,목5(CH103),1
00655-01,오페라워크숍2,,전선1,3,월2~3(CH104),2
02304-01,오페라워크숍4,,전선1,4,월4~5(CH104),2
04879-01,음악교과교재연구및지도법,이재용,전선1,3,화4~6(CH104),3
03302-01,음악분석,임재의,전선1,3,화7~8(CH202),2
06183-01,지휘법,최종윤,전선1,4,화3~4(CH201),2
00961-01,클래스피아노2,,전선1,1,,1
00961-02,클래스피아노2,,전선1,1,,1
00961-03,클래스피아노2,,전선1,1,,1
00963-01,클래스피아노4,,전선1,2,,1
00963-02,클래스피아노4,,전선1,2,,1
00963-03,클래스피아노4,,전선1,2,,1
03809-01,피아노교수법2,,전선1,4,화4~5(CH103),2
00986-01,피아노문헌2,,전선1,3,수3~4(CH104),2
01107-01,합주2,안동호,전선1,1,"수4~5(), 목5~6()",1
01109-01,합주4,안동호,전선1,2,"수4~5(), 목5~6()",1
01111-01,합주6,안동호,전선1,3,"수4~5(), 목5~6()",1
01113-01,합주8,안동호,전선1,4,"수4~5(), 목5~6()",1
01115-01,합창2,박민식,전선1,1,월7~8(),1
01117-01,합창4,박민식,전선1,2,월7~8(),1
01119-01,합창6,박민식,전선1,3,월7~8(),1
06118-01,합창8,박민식,전선1,4,월7~8(),1
04160-01,현대음악2,임재의,전선1,3,화4~5(CH202),2
03311-01,현악합주2,이항석,전선1,3,금8~9(CH334),1
03313-01,현악합주4,이항석,전선1,4,금8~9(),1
00848-01,졸업연주,,졸업연주,전체,,0
00848-02,졸업연주,,졸업연주,전체,,0
00848-03,졸업연주,,졸업연주,전체,,0
00848-04,졸업연주,,졸업연주,전체,,0
06242-01,미디어와패션아이콘,조정미,중핵,전체,"화6(N301), 목5~6(N301)",3
06243-01,환경과패션,최예지,중핵,전체,수2~4(N412),3
00693-01,의복과인체,이경화,전기,전체,"월7(D702), 수6~7(D702)",3
00693-02,의복과인체,이경화,전기,전체,"수1(D702), 금1~2(D702)",3
00455-01,서양의복구성1,김수경,전필1,2,월5~8(D401),3
00455-02,서양의복구성1,김수경,전필1,2,수5~8(D401),3
05731-01,CAD패션디자인,김지은,전선1,3,월5~8(D304),3
05731-02,CAD패션디자인,"김지은, 박유정",전선1,3,화1~4(D304),3
03767-01,CAD패턴메이킹,유은주,전선1,4,목1~4(D304),3
05086-01,기초패션디자인,조정미,전선1,2,화1~4(D434),3
05086-02,기초패션디자인,조정미,전선1,2,수1~4(D434),3
05083-01,동양복식문화,김은정,전선1,2,목2~4(K234),3
00456-01,서양의복구성2,이경화,전선1,3,금4~7(D401),3
00456-02,서양의복구성2,최현옥,전선1,3,수1~4(D442),3
06807-01,스마트패션과테크놀로지,이혜원,전선1,3,"수6~7(D334), 금3(D334)",3
03761-01,의류소재과학,이혜원,전선1,2,"화6(N219), 목5~6(N219)",3
06528-01,의류학과진로탐색,"유희, 이혜원",전선1,1,월5~6(N113),1
06705-01,의류학현장실습Ⅰ,유희,전선1,4,,3
06706-01,의류학현장실습Ⅱ,유희,전선1,4,,3
06707-01,의류학현장실습Ⅲ,유희,전선1,4,,3
06708-01,의류학현장실습Ⅳ,유희,전선1,4,,3
06709-01,의류학현장실습Ⅴ,유희,전선1,4,,3
05813-01,이미지메이킹및코디네이션종합설계,유희,전선1,4,화5~8(D434),3
06710-01,패션디자인아카이브캡스톤디자인,조정미,전선1,3,목1~3(D434),3
05087-01,패션디자인프로세스,김수경,전선1,3,화5~8(D435),3
06136-01,패션마케팅과비즈니스모델,박선양,전선1,2,금5~7(D303),3
05092-01,패션바잉과머천다이징,유희,전선1,3,"월2~3(D434), 목4(D434)",3
05687-01,패션포트폴리오캡스톤디자인,김수경,전선1,4,목5~8(D435),3
05686-01,패턴메이킹캡스톤디자인,이경화,전선1,4,월1~4(D401),3
06449-01,일반생물학2,김상태,전기,전체,"화1~2(B351), 목2(B351)",3
06449-02,일반생물학2,황혜진,전기,전체,"월8~9(N301), 금7(N301)",3
06449-03,일반생물학2,임신원,전기,전체,"월6~7(NP117), 수5(NP117)",3
06413-01,과학철학과생명윤리,안지훈,전선1,1,목7~9(N320),3
07048-01,뇌과학,박대훈,전선1,4,"월8~9(D702), 수8(D702)",3
06537-01,동물발생학,김지훈,전선1,2,"월7(N311), 수6~7(N311)",3
06909-01,마이크로바이옴과질병,곽우리,전선1,4,"화2~3(M306), 목3(M306)",3
06897-01,분자모델링기반신약개발,김지훈,전선1,4,"수4~5(D702), 월6(D702)",3
06539-01,분자바이러스학,문성실,전선1,3,금1~3(N412),3
06470-01,산업인력양성프로그램,남재환,전선1,4,"월3(N320), 수2~3(N320)",3
06543-01,생화학2,박용일,전선1,2,"화6~7(N209), 목6(N209)",3
06472-01,세포기전학,남재환,전선1,2,"수8(B338), 월8~9(B338)",3
06548-01,유전학,황혜진,전선1,2,금2~4(N407),3
06965-01,의생명과학현장실습I,,전선1,4,,3
06966-01,의생명과학현장실습II,,전선1,4,,3
06967-01,의생명과학현장실습III,,전선1,4,,3
06968-01,의생명과학현장실습IV,,전선1,4,,3
06969-01,의생명과학현장실습V,,전선1,4,,3
06429-01,의학분자진단학,,전선1,3,월1~3(D702),3
06905-01,의학생리학,박대훈,전선1,3,"화7~8(D702), 목7(D702)",3
06551-01,일반생물학실험2,김상태,전선1,1,수6~7(D701),1
06900-01,전사체학,곽우리,전선1,3,"월4~5(M306), 금4(M306)",3
06552-01,종양학,윤현호,전선1,3,"화4~5(BA203), 목4(BA203)",3
06554-01,진화생물학,김상태,전선1,2,"화4~5(BA204), 목4(BA204)",3
06298-01,AI와함께살아가기,유은순,중핵,전체,월1~3(B352),3
06565-01,블록코딩과AI,,중핵,1,월1~3(M306),3
02922-05,컴퓨터와프로그래밍2,김기택,전기,전체,"화4~5(M304), 목4~5(M304)",3
02922-06,컴퓨터와프로그래밍2,권오형,전기,전체,"화5~6(M307), 목5~6(M307)",3
06511-01,머신러닝,정동화,전필1,2,"화2~3(B345), 목2~3(B345)",3
06771-01,선형대수,이민지,전필1,1,"월2~3(B351), 금3(B351)",3
06771-02,선형대수,정남규,전필1,1,월4~6(B352),3
06814-01,자료구조론,권오형,전필1,2,"화7~8(B345), 목7~8(B345)",3
06510-01,AI기초수학,정동화,전선1,1,"수8(B345), 월8~9(B345)",3
06510-02,AI기초수학,,전선1,1,"금7~8(B346), 월9(B346)",3
06835-01,강화학습1,장재연,전선1,3,"화7~8(B346), 목7(B346)",3
06474-01,계산뇌과학,이민지,전선1,3,"월1(B346), 금1~2(B346)",3
06838-01,그래프신경망,이오준,전선1,3,"화2~3(B346), 목3(B346)",3
06845-01,데이터베이스,최승호,전선1,2,월1~3(K239),3
06840-01,웹프로그래밍,윤준호,전선1,2,월4~6(B346),3
06846-01,음성인식및합성,,전선1,3,"월8(B346), 금5~6(B346)",3
06481-01,인공지능학캡스톤디자인2,"정동화, 이오준, 김강민, 장재연, 신유진, 이민지",전선1,3,"목8~9(B352), 화9(B352)",3
06483-01,인공지능학현장실습Ⅰ,"정동화, 이오준, 김강민, 장재연, 이민지, 신유진",전선1,3,,3
06484-01,인공지능학현장실습Ⅱ,"정동화, 이오준, 김강민, 장재연, 이민지, 신유진",전선1,3,,3
06485-01,인공지능학현장실습Ⅲ,"정동화, 이오준, 김강민, 장재연, 이민지, 신유진",전선1,3,,3
06486-01,인공지능학현장실습Ⅳ,"정동화, 이오준, 김강민, 장재연, 이민지, 신유진",전선1,3,,3
06487-01,인공지능학현장실습Ⅴ,"정동화, 이오준, 김강민, 장재연, 이민지, 신유진",전선1,3,,3
06488-01,자연어처리,김강민,전선1,3,"화5~6(B345), 목5~6(B345)",3
06815-01,컴퓨터구조론,이새봄,전선1,2,월7~9(B351),3
06843-01,컴퓨터비전,신유진,전선1,3,"월2~3(B345), 수2(B345)",3
00771-01,일어1,,자교,전체,,3
01199-01,일어2,강석우,자교,전체,"화4~5(V212), 목4(V212)",3
01199-02,일어2,이범석,자교,전체,"화4~5(N310), 목4(N310)",3
02792-01,일본어학입문,이범석,전기,전체,"화7(K106), 목6~7(K106)",3
02792-02,일본어학입문,,전기,전체,,3
05671-01,일본어학개론,이범석,전필1,3,"월4~5(M414), 금4(M414)",3
02689-01,무역일본어회화및작문2,장양광,전선1,4,"화6(K254), 목5~6(K254)",3
03590-01,시사일본어토론,장양광,전선1,3,"화4~5(BA304), 목4(BA304)",3
02679-01,일본사회와문화2,강석우,전선1,2,"화4(N413), 목2~3(N413)",3
06867-01,일본스토리텔링과창업전략,최창완,전선1,4,수6~8(BA202),3
04823-01,일본어교과교재연구및지도법,최창완,전선1,3,월6~8(N320),3
03588-01,일본인과의커뮤니케이션,김지은,전선1,4,수4~6(K342),3
05707-01,일본학세미나,강석우,전선1,3,"월6(N410), 수6~7(N410)",3
06593-01,일어일본문화현장실습Ⅰ,최창완,전선1,3,,3
06594-01,일어일본문화현장실습Ⅱ,최창완,전선1,3,,3
06595-01,일어일본문화현장실습Ⅲ,최창완,전선1,3,,3
06596-01,일어일본문화현장실습Ⅳ,최창완,전선1,3,,3
06597-01,일어일본문화현장실습Ⅴ,최창완,전선1,3,,3
02687-01,일어현대문법,최은희,전선1,3,수2~4(N414),3
03457-01,일한번역세미나,오경순,전선1,4,목7~9(K356),3
04338-01,중급일본어작문,장양광,전선1,2,"월7(K250), 수6~7(K250)",3
04338-02,중급일본어작문,성미강자,전선1,2,,3
04337-01,중급일본어회화,장양광,전선1,2,"월6(N310), 수4~5(N310)",3
03587-01,컴퓨터활용과일본어,구명회,전선1,2,월2~4(K338),3
02995-01,한일비교문학,이승진,전선1,4,금7~9(M305),3
03001-01,현대일본인의생활과일본대중문화,최창완,전선1,3,"화2~3(BA202), 목3(BA202)",3
04242-01,프로그래밍및실습2,바실리,전기,전체,"월6~7(M304), 수8~9(M304)",3
04242-02,프로그래밍및실습2,함채원,전기,전체,금1~4(M304),3
04242-03,프로그래밍및실습2,한병준,전기,전체,금5~8(K239),3
03268-01,객체지향프로그래밍기초,바실리,전선1,2,"화9(B338), 목8~9(B338)",3
03268-02,객체지향프로그래밍기초,함채원,전선1,2,금5~7(N308),3
03147-01,공학수학2,이창우,전선1,2,"화2~3(B338), 목3(B338)",3
03142-01,논리회로및실험,박태근,전선1,2,"월4~5(N211), 수4~5(N211)",3
03142-02,논리회로및실험,권순재,전선1,2,"월4~5(D303), 수4~5(D303)",3
04516-01,디지털VLSI설계,박태근,전선1,4,"화2~3(N414), 목3(N414)",3
03164-01,디지털신호처리,이창우,전선1,3,"월6(N407), 수4~5(N407)",3
04311-01,디지털통신,박소령,전선1,3,"화2~3(N209), 목3(N209)",3
03191-01,멀티미디어통신,이창우,전선1,4,"화6(D301), 목5~6(D301)",3
05806-01,모바일정보통신종합설계,권순재,전선1,3,"화7~8(N317), 목7(N317)",3
04084-01,무선통신시스템,최상호,전선1,4,"화7~8(K258), 목7(K258)",3
03390-01,반도체프로세스,권지석,전선1,3,"월4~5(M411), 금4(M411)",3
04863-01,보안시스템,바실리,전선1,4,"화4~5(N320), 목4(N320)",3
03145-01,신호및시스템,최상호,전선1,2,"월8~9(V313), 수1(V313)",3
03145-02,신호및시스템,박소령,전선1,2,"수2~3(BA204), 금3(BA204)",3
03146-01,전자회로1및실험,우두형,전선1,2,"월6~7(M414), 수6~7(M414)",3
03146-02,전자회로1및실험,우두형,전선1,2,"수8~9(N211), 금1~2(N211)",3
06691-01,정보통신전자공학현장실습Ⅰ,허광영,전선1,3,,3
06692-01,정보통신전자공학현장실습Ⅱ,허광영,전선1,3,,3
06693-01,정보통신전자공학현장실습Ⅲ,허광영,전선1,3,,3
06694-01,정보통신전자공학현장실습Ⅳ,허광영,전선1,3,,3
06695-01,정보통신전자공학현장실습Ⅴ,허광영,전선1,3,,3
06217-01,종합설계,권지석,전선1,4,"화9~10(N310), 수9~10(N310)",3
04864-01,초고주파공학,우두형,전선1,3,"월2~3(N411), 금3(N411)",3
03151-01,컴퓨터구조,박태근,전선1,3,"화6(N412), 목5~6(N412)",3
03907-01,컴퓨터네트워킹,정윤찬,전선1,3,목8~10(N412),3
03141-01,확률및통계,최상호,전선1,2,"화4~5(V313), 목4(V313)",3
03141-02,확률및통계,박소령,전선1,2,"화7~8(N112), 목7(N112)",3
06309-01,외국인을위한중한번역연습,이윤희,자교,전체,"수1(M301), 금1~2(M301)",3
01202-01,중어2,고재원,자교,전체,"월4~5(V213), 금4(V213)",3
05839-01,고급중국어회화,왕수,전선1,3,"월8~9(K248), 수8(K248)",3
06586-01,명언명구로배우는한문2,한혜경,전선1,2,"월8~9(M302), 수8(M302)",3
05962-01,시사중국어,이윤희,전선1,3,"화1(N119), 목1~2(N119)",3
06587-01,중국소설의세계,한혜경,전선1,3,"화6(B352), 목5~6(B352)",3
02831-01,중국시낭송,맹영한,전선1,2,"월4~5(K342), 금4(K342)",3
04043-01,중국어문법의이해,이현주,전선1,2,"화6(N414), 목5~6(N414)",3
05963-01,중국어읽기와문화,한혜경,전선1,3,"월6(M401), 수4~5(M401)",3
06514-01,중국언어문화학과진로탐색,"김의진, 한혜경, 이현주, 왕수",전선1,1,수9(N218),1
06588-01,중국언어문화학현장실습Ⅰ,김의진,전선1,3,,3
06589-01,중국언어문화학현장실습Ⅱ,김의진,전선1,3,,3
06590-01,중국언어문화학현장실습Ⅲ,김의진,전선1,3,,3
06591-01,중국언어문화학현장실습Ⅳ,김의진,전선1,3,,3
06592-01,중국언어문화학현장실습Ⅴ,김의진,전선1,3,,3
04429-01,중국지역문화특강,김진희,전선1,3,"수2~3(N415), 금3(N415)",3
04425-01,중국현대명문선독,김의진,전선1,3,"화4~5(N415), 목4(N415)",3
02833-01,중국현대문학과대중문화,김의진,전선1,4,"화7~8(N119), 목7(N119)",3
04419-01,중국현대문학의이해,김의진,전선1,2,"월7(M305), 수6~7(M305)",3
05837-01,중급중국어읽기,이현주,전선1,2,"월7(N307), 수6~7(N307)",3
06354-01,집중중국어2,이수영,전선1,2,"화2~3(B352), 목3(B352)",3
06354-02,집중중국어2,신주현,전선1,2,"수2~3(K243), 금3(K243)",3
05234-01,통상중국어,왕수,전선1,4,"월6(V213), 수4~5(V213)",3
00281-01,미학개론,이섭,자교,전체,화1~3(N307),3
04512-01,동양의지혜와윤리,박수지,중핵,전체,수6~8(N409),3
03843-01,동양철학의전통,김성희,중핵,전체,금6~8(N211),3
03842-01,서양철학의전통,박승찬,중핵,전체,"월6(N318), 수4~5(N318)",3
03844-01,신화와철학,김길수,중핵,전체,월5~7(N308),3
03844-02,신화와철학,홍진후,중핵,전체,월2~4(N308),3
03844-03,신화와철학,김선영,중핵,전체,금2~4(N308),3
06066-01,초보자를위한철학책읽기와토론,최민영,중핵,1,"화7~8(N311), 목7(N311)",3
04612-01,"학문,인간,윤리",윤단비,중핵,전체,목6~8(V313),3
04511-01,현대사회와윤리적문제들,김진아,중핵,전체,목2~4(N412),3
01630-01,철학의흐름,김길수,전기,전체,월1~3(N208),3
06859-01,노장철학,백민정,전선1,4,"화7(M302), 목7~8(M302)",3
03499-01,논리적분석과응용,김광식,전선1,2,수7~9(K254),3
03504-01,도(道)와로고스,김성희,전선1,2,금2~4(M410),3
06857-01,서양철학명저산책,전석빈,전선1,3,"화9(M305), 목8~9(M305)",3
03501-01,심리와감성,,전선1,4,목4~6(N112),3
03510-01,앎과진리,임경헌,전선1,2,월1~3(N307),3
01463-01,역사철학,임경헌,전선1,4,수2~4(N113),3
03508-01,윤리적사고와응용,홍진후,전선1,4,월7~9(K247),3
01457-01,중세철학사,박승찬,전선1,2,"월7(K243), 수6~7(K243)",3
04873-01,철학교재연구및지도법,윤단비,전선1,3,금5~7(M406),3
05051-01,철학기초문헌연습,박수지,전선1,2,수2~4(K258),3
06856-01,철학의쟁점들과철학적글쓰기,김진아,전선1,4,화2~4(N119),3
02793-01,플라톤철학,최민영,전선1,2,"화9(N112), 목8~9(N112)",3
01084-01,한국철학,백민정,전선1,3,"화4~5(V111), 목4(V111)",3
01462-01,현대철학사,신승환,전선1,3,"화6(M211), 목5~6(M211)",3
01460-01,형이상학,신승환,전선1,3,"금5~6(M301), 월8(M301)",3
05762-01,NCS직업기초역량실무,허광영,자교,전체,"화7~8(D236), 목7(D236)",3
04629-01,성공취업전략,조형래,자교,4,수2~3(N312),2
04115-01,자기개발과진로선택,조형래,자교,전체,목2~3(N318),2
05777-01,직무교육개론,허광영,자교,전체,"화2~3(M302), 목3(M302)",3
05777-02,직무교육개론,허광영,자교,전체,"월6(N319), 수4~5(N319)",3
06452-01,취업정보분석과취업전략수립,조재한,자교,전체,화7~9(N320),3
04116-01,취업준비와사회진출,임현선,자교,전체,화7~8(N211),2
06347-01,퍼스널브랜딩과성공취업,유희,자교,전체,"화2~3(N211), 목3(N211)",3
06566-01,핵심취업전략,조형래,자교,4,,1
06499-01,현장실습10,,자교,3,,3
06500-01,현장실습6,,자교,3,,3
06501-01,현장실습7,,자교,3,,3
06502-01,현장실습8,,자교,3,,3
06503-01,현장실습9,,자교,3,,3
06175-01,생애진로와커리어디자인,조형래,기교,1,,1
06313-01,기업가정신과기술창업,채지희,중핵,2,"수2~3(N410), 금1(N410)",3
06314-01,미래를여는소셜이노베이션,조영정,중핵,2,월1~3(V313),3
06767-01,사회혁신과체인지메이커,조영정,중핵,2,수1~3(D236),3
06489-01,현장실습1,,전선1,3,,3
06490-01,현장실습2,,전선1,3,,3
06491-01,현장실습3,,전선1,3,,3
06492-01,현장실습4,,전선1,3,,3
06493-01,현장실습5,,전선1,3,,3
03852-01,사이버스페이스의정보윤리,박헌우,중핵,전체,"화2~3(M414), 목3(M414)",3
03852-02,사이버스페이스의정보윤리,박헌우,중핵,전체,"화1(M414), 금1~2(M414)",3
03852-03,사이버스페이스의정보윤리,장재경,중핵,전체,화5~7(M414),3
06308-01,코딩과알고리즘,이지윤,중핵,전체,화1~4(D405),3
02922-01,컴퓨터와프로그래밍2,한미현,전기,전체,수5~8(D409),3
02922-02,컴퓨터와프로그래밍2,홍영진,전기,전체,금5~8(M306),3
02922-03,컴퓨터와프로그래밍2,장재경,전기,전체,화1~4(D409),3
02922-04,컴퓨터와프로그래밍2,양문자,전기,전체,수4~7(M304),3
04578-01,객체지향프로그래밍설계,양문자,전선1,2,수1~3(D404),3
04572-01,논리회로및설계,,전선1,2,"수6~7(D405), 월6~7(D405)",3
04572-02,논리회로및설계,한미현,전선1,2,수1~4(K360),3
04082-01,데이터마이닝,노상욱,전선1,4,"화4~5(B338), 목4(B338)",3
04575-01,데이터베이스설계,황병연,전선1,3,"화2~3(BA203), 목2~3(BA203)",3
04575-02,데이터베이스설계,황병연,전선1,3,"목7~8(N308), 화7~8(N308)",3
03144-01,문제해결기법,박정흠,전선1,2,"화2~3(D301), 목3(D301)",3
04571-01,시스템소프트웨어실습,김백현,전선1,2,월6~9(D409),3
04571-02,시스템소프트웨어실습,김백현,전선1,2,금7~10(D409),3
03157-01,오토마타,박정흠,전선1,3,"화6(N110), 목5~6(N110)",3
03903-01,웹프로그래밍,홍영진,전선1,2,금1~4(D404),3
